0.00613592  1.19691  0.828822  3
0.00867751  1.226  0.703674  6
0.0106277  1.37731  0.68388  4
0.0122718  0.574626  0.419771  3
0.0137203  1.09007  0.479302  12
0.0150299  1.16944  0.293073  12
0.017355  0.985135  0.481073  6
0.0184078  1.1282  0.273414  15
0.0194035  1.06332  0.337674  12
0.0203506  0.544722  0.18853  12
0.0212555  0.985923  0.560425  4
0.0221234  0.985022  0.347006  12
0.0229585  1.1119  0.165042  24
0.0245437  0.72684  0.503727  3
0.0252991  0.805587  0.147535  24
0.0260325  1.32802  0.303114  18
0.0267459  1.12226  0.175551  12
0.0278924  0.865744  0.150678  36
0.02878  0.918975  0.190352  12
0.0304041  1.11217  0.193525  27
0.0312872  1.25544  0.171907  36
0.0318832  0.916719  0.191881  16
0.033043  1.13754  0.143332  36
0.0336078  0.944514  0.195702  24
0.0351406  0.77587  0.13072  30
0.0360394  0.992275  0.126716  48
0.0370412  1.24949  0.159053  27
0.0378244  0.797532  0.125189  36
0.0393563  0.908628  0.111605  84
0.0404685  0.675683  0.122422  24
0.041343  1.13729  0.149251  60
0.0431782  0.892161  0.128765  73
0.044316  0.971962  0.12712  72
0.0453654  0.939134  0.0984801  72
0.0467955  1.12016  0.12471  72
0.0481466  0.86988  0.0959707  84
0.0496416  0.977916  0.0849082  99
0.0508855  1.07805  0.103914  108
0.0525723  1.0877  0.124533  102
0.0537036  1.11739  0.113574  112
0.0555823  0.971514  0.0842132  147
0.0573235  0.990625  0.0766932  168
0.0588018  0.877062  0.0705359  156
0.0607123  1.12082  0.101405  126
0.0621169  0.97044  0.0661374  207
0.0638731  1.02859  0.0669748  196
0.0659346  1.10394  0.0762241  252
0.0679655  1.0029  0.0651824  219
0.0697741  1.05038  0.064343  282
0.0719069  1.01333  0.0588151  312
0.0742463  1.06502  0.061248  307
0.0761166  0.973914  0.0561259  348
0.0783673  0.976341  0.054048  330
0.0804577  0.952287  0.0493095  399
0.0828864  1.00418  0.0423885  492
0.0854198  1.02057  0.0469492  463
0.0879793  0.991953  0.0428673  606
0.0905425  1.04682  0.044865  492
0.0930558  0.99926  0.0393063  663
0.0959956  0.984699  0.036832  778
0.0987546  0.957411  0.0374738  603
0.101408  0.995968  0.0350284  900
0.104605  1.00683  0.0340439  897
0.107587  0.959957  0.0320876  976
