# kid noise_min noise_max noise_mean shell_count
156 0.998282 1.001960 0.999995 2995150
157 0.998153 1.001920 1.000005 3262650
158 0.998112 1.001720 0.999988 3558020
159 0.998326 1.001780 0.999986 3877940
160 0.998496 1.001590 1.000015 4228700
161 0.998517 1.001210 0.999984 4610010
162 0.998396 1.001350 1.000003 5024390
163 0.998387 1.001420 1.000009 5479010
164 0.998784 1.001290 0.999977 5974340
165 0.998507 1.001210 0.999993 6509020
166 0.998843 1.001330 1.000006 7102430
167 0.998825 1.001160 0.999987 7736960
168 0.998625 1.000930 0.999980 8439970
169 0.999052 1.001170 0.999994 9195850
170 0.999094 1.000980 1.000012 10026200
171 0.998991 1.000850 1.000005 10933200
172 0.999160 1.000930 0.999997 11918000
173 0.999093 1.000890 1.000007 12992400
174 0.999165 1.000930 1.000017 14161100
175 0.999292 1.000920 1.000001 15446400
176 0.999209 1.000840 1.000004 16828500
177 0.999251 1.000750 1.000005 18352100
178 0.999210 1.000730 1.000006 20009800
179 0.999359 1.000710 1.000004 21812300
180 0.999355 1.000830 1.000004 23704600
181 0.999337 1.000550 0.999989 24204900
182 0.999252 1.000710 1.000007 24032700
183 0.999336 1.000800 1.000010 23713800
184 0.999214 1.000640 1.000018 23215800
185 0.999337 1.000790 1.000007 22506200
186 0.999374 1.000680 1.000011 21578300
187 0.999376 1.000620 1.000004 20387900
188 0.999264 1.000770 0.999987 18903100
189 0.999265 1.000730 1.000000 17087700
190 0.999162 1.000890 0.999998 14902000
191 0.999188 1.000950 0.999999 12293900
192 0.999017 1.001090 1.000005 9232970
193 0.998477 1.001180 0.999978 6458020
194 0.998452 1.001820 1.000019 4495640
195 0.998168 1.001640 0.999999 2967800
196 0.997105 1.002270 0.999987 1774110
197 0.996762 1.003030 0.999927 887157
198 0.993225 1.007270 0.999973 300782
199 0.983198 1.020170 0.999803 31117
